1.000000e-06 4.393352e-03 8.190416e-04 7.675133e-11 
1.149757e-06 5.047347e-03 9.409642e-04 7.675133e-11 
1.321941e-06 5.798022e-03 1.080911e-03 7.675133e-11 
1.519911e-06 6.659456e-03 1.241506e-03 7.675133e-11 
1.747528e-06 7.647706e-03 1.425743e-03 7.675133e-11 
2.009233e-06 8.781072e-03 1.637033e-03 7.675133e-11 
2.310130e-06 1.008037e-02 1.879258e-03 7.675133e-11 
2.656088e-06 1.156925e-02 2.156827e-03 7.675133e-11 
3.053856e-06 1.327454e-02 2.474740e-03 7.675133e-11 
3.511192e-06 1.522658e-02 2.838654e-03 7.675133e-11 
4.037017e-06 1.745963e-02 3.254956e-03 7.675133e-11 
4.641589e-06 2.001225e-02 3.730834e-03 7.675133e-11 
5.336699e-06 2.292770e-02 4.274353e-03 7.675133e-11 
6.135907e-06 2.625432e-02 4.894527e-03 7.675133e-11 
7.054802e-06 3.004592e-02 5.601387e-03 7.675133e-11 
8.111308e-06 3.436206e-02 6.406033e-03 7.675133e-11 
9.326033e-06 3.926826e-02 7.320684e-03 7.675133e-11 
1.072267e-05 4.483612e-02 8.358686e-03 7.675133e-11 
1.232847e-05 5.114320e-02 9.534498e-03 7.675133e-11 
1.417474e-05 5.827270e-02 1.086363e-02 7.675133e-11 
1.629751e-05 6.631283e-02 1.236253e-02 7.675133e-11 
1.873817e-05 7.535574e-02 1.404838e-02 7.675133e-11 
2.154435e-05 8.549603e-02 1.593881e-02 7.675133e-11 
2.477076e-05 9.682869e-02 1.805153e-02 7.675133e-11 
2.848036e-05 1.094464e-01 2.040382e-02 7.675133e-11 
3.274549e-05 1.234363e-01 2.301192e-02 7.675133e-11 
3.764936e-05 1.388758e-01 2.589027e-02 7.675133e-11 
4.328761e-05 1.558282e-01 2.905066e-02 7.675133e-11 
4.977024e-05 1.743375e-01 3.250129e-02 7.675133e-11 
5.722368e-05 1.944231e-01 3.624579e-02 7.675133e-11 
6.579332e-05 2.160747e-01 4.028225e-02 7.675133e-11 
7.564633e-05 2.392480e-01 4.460236e-02 7.675133e-11 
8.697490e-05 2.638602e-01 4.919073e-02 7.675133e-11 
1.000000e-04 2.897887e-01 5.402450e-02 7.675133e-11 
1.149757e-04 3.168706e-01 5.907329e-02 7.675133e-11 
1.321941e-04 3.449051e-01 6.429964e-02 7.675133e-11 
1.519911e-04 3.736579e-01 6.965989e-02 7.675133e-11 
1.747528e-04 4.028683e-01 7.510543e-02 7.675133e-11 
2.009233e-04 4.322586e-01 8.058446e-02 7.675133e-11 
2.310130e-04 4.615438e-01 8.604388e-02 7.675133e-11 
2.656088e-04 4.904433e-01 9.143134e-02 7.675133e-11 
3.053856e-04 5.186911e-01 9.669723e-02 7.675133e-11 
3.511192e-04 5.460454e-01 1.017964e-01 7.675133e-11 
4.037017e-04 5.722959e-01 1.066898e-01 7.675133e-11 
4.641589e-04 5.972697e-01 1.113450e-01 7.675133e-11 
5.336699e-04 6.208337e-01 1.157372e-01 7.675133e-11 
6.135907e-04 6.428952e-01 1.198491e-01 7.675133e-11 
7.054802e-04 6.634003e-01 1.236705e-01 7.675133e-11 
8.111308e-04 6.823305e-01 1.271980e-01 7.675133e-11 
9.326033e-04 6.996984e-01 1.304339e-01 7.675133e-11 
1.072267e-03 7.155426e-01 1.333851e-01 7.675133e-11 
1.232847e-03 7.299223e-01 1.360627e-01 7.675133e-11 
1.417474e-03 7.429129e-01 1.384805e-01 7.675133e-11 
1.629751e-03 7.545999e-01 1.406544e-01 7.675133e-11 
1.873817e-03 7.650762e-01 1.426014e-01 7.675133e-11 
2.154435e-03 7.744379e-01 1.443391e-01 7.675133e-11 
2.477076e-03 7.827816e-01 1.458853e-01 7.675133e-11 
2.848036e-03 7.902023e-01 1.472573e-01 7.675133e-11 
3.274549e-03 7.967914e-01 1.484718e-01 7.675133e-11 
3.764936e-03 8.026379e-01 1.495445e-01 7.675133e-11 
4.328761e-03 8.078231e-01 1.504901e-01 7.675133e-11 
4.977024e-03 8.124249e-01 1.513223e-01 7.675133e-11 
5.722368e-03 8.165157e-01 1.520537e-01 7.675133e-11 
6.579332e-03 8.201628e-01 1.526955e-01 7.675133e-11 
7.564633e-03 8.234289e-01 1.532582e-01 7.675133e-11 
8.697490e-03 8.263726e-01 1.537509e-01 7.675133e-11 
1.000000e-02 8.290489e-01 1.541819e-01 7.675133e-11 
1.149757e-02 8.315099e-01 1.545588e-01 7.675133e-11 
1.321941e-02 8.338057e-01 1.548879e-01 7.675133e-11 
1.519911e-02 8.359846e-01 1.551751e-01 7.675133e-11 
1.747528e-02 8.380945e-01 1.554255e-01 7.675133e-11 
2.009233e-02 8.401829e-01 1.556436e-01 7.675133e-11 
2.310130e-02 8.422984e-01 1.558332e-01 7.675133e-11 
2.656088e-02 8.444902e-01 1.559975e-01 7.675133e-11 
3.053856e-02 8.468102e-01 1.561392e-01 7.675133e-11 
3.511192e-02 8.493119e-01 1.562606e-01 7.675133e-11 
4.037017e-02 8.520515e-01 1.563631e-01 7.675133e-11 
4.641589e-02 8.
